yasha@yasha-VirtualBox:~/embedUr-Training/Linux-Training$ ps -ef
UID          PID    PPID  C STIME TTY          TIME CMD
yasha       2023    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-wacom
yasha       2038    1550  0 16:25 ?        00:00:00 /usr/libexec/evolution-data-
yasha       2049    1550  0 16:25 ?        00:00:00 /usr/libexec/gsd-disk-utilit
yasha       2178    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-printer
yasha       2192    1328  0 16:25 ?        00:00:00 /usr/libexec/goa-daemon
yasha       2199    1328  0 16:25 ?        00:00:00 /usr/libexec/gvfs-udisks2-vo
yasha       2215    1995  0 16:25 ?        00:00:00 /usr/libexec/ibus-memconf
yasha       2221    1995  0 16:25 ?        00:00:02 /usr/libexec/ibus-extension-
yasha       2227    1328  0 16:25 ?        00:00:00 /usr/libexec/ibus-portal
yasha       2246    1328  0 16:25 ?        00:00:00 /usr/libexec/evolution-calen
yasha       2262    1328  0 16:25 ?        00:00:00 /usr/libexec/goa-identity-se
yasha       2263    1328  0 16:25 ?        00:00:00 /usr/libexec/gvfs-goa-volume
yasha       2277    1328  0 16:25 ?        00:00:00 /usr/libexec/evolution-addre
yasha       2282    1328  0 16:25 ?        00:00:00 /usr/libexec/gvfs-gphoto2-vo
yasha       2295    1328  0 16:25 ?        00:00:03 /usr/libexec/gvfs-afc-volume
yasha       2304    1328  0 16:25 ?        00:00:00 /usr/libexec/gvfs-mtp-volume
yasha       2309    1594  0 16:25 ?        00:00:00 /usr/bin/Xwayland :0 -rootle
yasha       2327    1995  0 16:25 ?        00:00:04 /usr/libexec/ibus-engine-sim
yasha       2351    1328  0 16:25 ?        00:00:00 /usr/libexec/dconf-service
yasha       2370    1328  0 16:25 ?        00:00:00 /usr/libexec/gvfsd-metadata
yasha       2371    1530  0 16:25 ?        00:00:00 /usr/libexec/gvfsd-trash --s
yasha       2425    1328  0 16:25 ?        00:00:00 /usr/libexec/tracker-miner-f
yasha       2443    1328  0 16:25 ?        00:00:00 /usr/libexec/gsd-xsettings
yasha       2447    1328  0 16:25 ?        00:00:00 /usr/bin/gjs -m /usr/share/g
yasha       2458    1328  0 16:26 ?        00:00:00 /usr/libexec/xdg-desktop-por
yasha       2467    1328  0 16:26 ?        00:00:00 /usr/libexec/xdg-desktop-por
yasha       2499    1328  0 16:26 ?        00:00:00 /usr/libexec/xdg-desktop-por
yasha       2510    1328  0 16:26 ?        00:00:00 /usr/libexec/ibus-x11
yasha       2524    1328  0 16:26 ?        00:00:00 /usr/bin/VBoxClient --clipbo
yasha       2525    2524  0 16:26 ?        00:00:00 /usr/bin/VBoxClient --clipbo
yasha       2535    1594  0 16:26 ?        00:00:00 /usr/libexec/mutter-x11-fram
yasha       2550    1328  0 16:26 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
yasha       2551    2550  0 16:26 ?        00:00:04 /usr/bin/VBoxClient --vmsvga
yasha       2653    1550  0 16:26 ?        00:00:01 /usr/bin/update-notifier
yasha       2993    1328  0 17:03 ?        00:00:04 /usr/bin/nautilus --gapplica
yasha       3021    1530  0 17:03 ?        00:00:00 /usr/libexec/gvfsd-recent --
yasha       3035    1328  0 17:03 ?        00:00:08 /usr/bin/gnome-text-editor /
root        3152       1  0 17:17 ?        00:00:02 /usr/libexec/fwupd/fwupd
root        3355       2  0 18:04 ?        00:00:00 [kworker/u5:0-ttm]
yasha       4180    1328  0 19:47 ?        00:00:00 /usr/bin/python3 /usr/bin/gn
yasha       4181    4180  0 19:47 ?        00:00:00 /usr/bin/gnome-terminal.real
yasha       4187    1328  0 19:47 ?        00:00:10 /usr/libexec/gnome-terminal-
yasha       4195    4187  0 19:47 pts/0    00:00:00 bash
root        4246       1  0 20:15 ?        00:00:01 /snap/snapd/current/usr/lib/
root        4250       1  0 20:15 ?        00:00:00 /usr/lib/systemd/systemd-jou
systemd+    4257       1  0 20:15 ?        00:00:01 /usr/lib/systemd/systemd-oom
root        4352       2  0 20:21 ?        00:00:00 [kworker/0:0H-kblockd]
root        4455       2  0 20:26 ?        00:00:01 [kworker/u4:4-events_unbound
root        4524       2  0 20:33 ?        00:00:00 [kworker/u4:1-flush-8:0]
root        4559       2  0 20:40 ?        00:00:02 [kworker/u4:2-events_power_e
root        4631       2  0 20:42 ?        00:00:00 [kworker/0:2H-kblockd]
root        4658       2  0 20:46 ?        00:00:03 [kworker/0:1-events]
root        4673       2  0 20:47 ?        00:00:00 [kworker/u5:2-ttm]
root        4822       2  0 21:02 ?        00:00:00 [kworker/u4:0-flush-8:0]
root        4836       2  0 21:06 ?        00:00:00 [kworker/0:0-cgroup_destroy]
root        4848       2  0 21:12 ?        00:00:00 [kworker/u4:3-ext4-rsv-conve
root        4874       2  0 21:14 ?        00:00:00 [kworker/u4:5]
yasha       4892    1594  1 21:15 ?        00:00:00 gjs /usr/share/gnome-shell/e
yasha       4932    4195 99 21:15 pts/0    00:00:00 ps -ef
yasha@yasha-VirtualBox:~/embedUr-Training/Linux-Training$ 

yasha@yasha-VirtualBox:~/embedUr-Training/Linux-Training$ ps aux
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  23416 14516 ?        Ss   16:25   0:02 /sbin/init sp
root           2  0.0  0.0      0     0 ?        S    16:25   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    16:25   0:00 [pool_workque
root           4  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-rc
root           5  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-sy
root           6  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-kv
root           7  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-sl
root           8  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-ne
root          13  0.0  0.0      0     0 ?        I<   16:25   0:00 [kworker/R-mm
root          14  0.0  0.0      0     0 ?        I    16:25   0:00 [rcu_tasks_kt
root          15  0.0  0.0      0     0 ?        I    16:25   0:00 [rcu_tasks_ru
root          16  0.0  0.0      0     0 ?        I    16:25   0:00 [rcu_tasks_tr
root          17  0.0  0.0      0     0 ?        S    16:25   0:01 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I    16:25   0:02 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S    16:25   0:00 [rcu_exp_par_
root          20  0.0  0.0      0     0 ?        S    16:25   0:00 [rcu_exp_gp_k
root          21  0.0  0.0      0     0 ?        S    16:25   0:00 [migration/0]
